Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
F,Stephen Thompson (12276589),Stephen Thompson,12276589,F,9300,Pettis@Thompson 03/23/2019 05:00PM ET,Thompson,23.5,
F,John Makdessi (12276601),John Makdessi,12276601,F,9100,Makdessi@Pinedo 03/23/2019 05:00PM ET,Makdessi,66.5,
F,Curtis Blaydes (12276591),Curtis Blaydes,12276591,F,9000,Blaydes@Willis 03/23/2019 05:00PM ET,Blaydes,88,
F,Maycee Barber (12276595),Maycee Barber,12276595,F,8900,Aldrich@Barber 03/23/2019 05:00PM ET,Barber,97.5,
F,Bobby Moffett (12276604),Bobby Moffett,12276604,F,8800,Mitchell@Moffett 03/23/2019 05:00PM ET,Moffett,46.5,
F,Alexis Davis (12276597),Alexis Davis,12276597,F,8600,Davis@Maia 03/23/2019 05:00PM ET,Davis,47,
F,Deiveson Figueiredo (12276599),Deiveson Figueiredo,12276599,F,8500,Figueiredo@Formiga 03/23/2019 05:00PM ET,Figueiredo,7,
F,Marlon Vera (12276612),Marlon Vera,12276612,F,8400,Saenz@Vera 03/23/2019 05:00PM ET,Vera,106,
F,Chris Gutierrez (12276608),Chris Gutierrez,12276608,F,8300,Gutierrez@MacDonald 03/23/2019 05:00PM ET,Gutierrez,64.5,
F,Angela Hill (12276594),Angela Hill,12276594,F,8200,Hill@Markos 03/23/2019 05:00PM ET,Hill,1,
F,Randa Markos (12276593),Randa Markos,12276593,F,8000,Hill@Markos 03/23/2019 05:00PM ET,Markos,107.5,
F,Ryan MacDonald (12276607),Ryan MacDonald,12276607,F,7900,Gutierrez@MacDonald 03/23/2019 05:00PM ET,MacDonald,7.5,
F,Jussier Formiga (12276600),Jussier Formiga,12276600,F,7700,Figueiredo@Formiga 03/23/2019 05:00PM ET,Formiga,79,
F,Jordan Espinosa (12276610),Jordan Espinosa,12276610,F,7500,Espinosa@Shelton 03/23/2019 05:00PM ET,Espinosa,58.5,
F,Bryce Mitchell (12276603),Bryce Mitchell,12276603,F,7400,Mitchell@Moffett 03/23/2019 05:00PM ET,Mitchell,46.5,
F,Justin Willis (12276592),Justin Willis,12276592,F,7200,Blaydes@Willis 03/23/2019 05:00PM ET,Willis,1,
F,Jesus Pinedo (12276602),Jesus Pinedo,12276602,F,7100,Makdessi@Pinedo 03/23/2019 05:00PM ET,Pinedo,18.5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Bovada,,,wins,losses,avg fight time,reach,slpm,tdp15min,
-370,Thompson,370,14,3,14,75,3.45,0.41,
-280,Makdessi,280,16,6,11,68,5.49,0,
-260,Blaydes,260,10,2,9,80,4.17,6.75,
-265,Barber,265,6,0,10,65,8.46,2.12,
-150,Moffett,150,14,3,7,74,3.64,3.27,
-145,Davis,145,19,8,12,68,4.18,0.8,
-160,Figueiredo,160,15,0,11,68,2.25,2.46,
-170,Vera,170,12,5,11,70,3.23,3.23,
-275,Gutierrez,275,12,3,11,69,2.83,0,
-155,Hill,155,8,5,13,64,5.79,0.42,
125,Markos,-125,8,7,13,63,2.92,1.61,
215,MacDonald,-215,10,0,11,71,2.83,0,
130,Formiga,-130,22,5,11,67,1.34,1.86,
120,Espinosa,-120,13,5,8,71,5.87,0.92,
120,Mitchell,-120,10,1,15,74,2.53,3,
200,Willis,-200,8,1,12,78,4.4,1.26,
220,Pinedo,-220,16,4,15,68,4,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Final Entries 3.23.2019,,,,,,,,,
,,,,,,,,,**Lineup Real Score
Bovada,Stephen Thompson (12276589),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  49900.0,  930.0,203
,John Makdessi (12276601),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jordan Espinosa (12276610),  50000.0,  920.0,303.5
,John Makdessi (12276601),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Bryce Mitchell (12276603),  49900.0,  920.0,
,Stephen Thompson (12276589),  Alexis Davis (12276597),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Justin Willis (12276592),  50000.0,  915.0,
,Stephen Thompson (12276589),  Deiveson Figueiredo (12276599),  Marlon Vera (12276612),  Chris Gutierrez (12276608),  Angela Hill (12276594),  Jesus Pinedo (12276602),  49800.0,  910.0,
Wins,Stephen Thompson (12276589),  Bobby Moffett (12276604),  Alexis Davis (12276597),  Jussier Formiga (12276600),  Jordan Espinosa (12276610),  Jesus Pinedo (12276602),  49000.0,  98.0,
,Stephen Thompson (12276589),  Bobby Moffett (12276604),  Alexis Davis (12276597),  Marlon Vera (12276612),  Jussier Formiga (12276600),  Jesus Pinedo (12276602),  49900.0,  97.0,
,Stephen Thompson (12276589),  Bobby Moffett (12276604),  Alexis Davis (12276597),  Chris Gutierrez (12276608),  Jussier Formiga (12276600),  Jesus Pinedo (12276602),  49800.0,  97.0,
