Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Junior Dos Santos (12189461),Junior Dos Santos,12189461,F,9400,Dos Santos@Lewis 03/09/2019 05:00PM ET,Dos Santos,96.35
F,Jeff Hughes (12189470),Jeff Hughes,12189470,F,9300,Greene@Hughes 03/09/2019 05:00PM ET,Hughes,115.1
F,Alex Morono (12189481),Alex Morono,12189481,F,9100,Morono@Ottow 03/09/2019 05:00PM ET,Morono,89.875
F,Beneil Dariush (12189463),Beneil Dariush,12189463,F,9000,Dariush@Dober 03/09/2019 05:00PM ET,Dariush,95.5
F,Tim Means (12189477),Tim Means,12189477,F,8800,Means@Price 03/09/2019 05:00PM ET,Means,98.7
F,Grant Dawson (12189479),Grant Dawson,12189479,F,8700,Dawson@Erosa 03/09/2019 05:00PM ET,Dawson,99.55
F,Alex White (12189485),Alex White,12189485,F,8600,Moret@White 03/09/2019 05:00PM ET,White,92.15
F,Omari Akhmedov (12189471),Omari Akhmedov,12189471,F,8500,Akhmedov@Boetsch 03/09/2019 05:00PM ET,Akhmedov,95.775
F,Louis Smolka (12189484),Louis Smolka,12189484,F,8300,Schnell@Smolka 03/09/2019 05:00PM ET,Smolka,96.9
F,Curtis Millender (12189476),Curtis Millender,12189476,F,8200,Millender@Zaleski dos Santos 03/09/2019 05:00PM ET,Millender,93.45
F,Elizeu Zaleski dos Santos (12189475),Elizeu Zaleski dos Santos,12189475,F,8000,Millender@Zaleski dos Santos 03/09/2019 05:00PM ET,Zaleski dos Santos,99.275
F,Matt Schnell (12189483),Matt Schnell,12189483,F,7900,Schnell@Smolka 03/09/2019 05:00PM ET,Schnell,88
F,Ben Rothwell (12189468),Ben Rothwell,12189468,F,7800,Ivanov@Rothwell 03/09/2019 05:00PM ET,Rothwell,100.875
F,Tim Boetsch (12189472),Tim Boetsch,12189472,F,7700,Akhmedov@Boetsch 03/09/2019 05:00PM ET,Boetsch,98.7
F,Dan Moret (12189486),Dan Moret,12189486,F,7600,Moret@White 03/09/2019 05:00PM ET,Moret,83.8
F,Julian Erosa (12189480),Julian Erosa,12189480,F,7500,Dawson@Erosa 03/09/2019 05:00PM ET,Erosa,103.775
F,Drew Dober (12189464),Drew Dober,12189464,F,7200,Dariush@Dober 03/09/2019 05:00PM ET,Dober,97.475
F,Maurice Greene (12189469),Maurice Greene,12189469,F,6900,Greene@Hughes 03/09/2019 05:00PM ET,Greene,105.225
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
,,,,58.75,58.75,,,
