Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Nathaniel Wood (12230425),Nathaniel Wood,12230425,F,9400,Quinonez@Wood 03/16/2019 01:00PM ET,Wood,104.77
F,Dominick Reyes (12230415),Dominick Reyes,12230415,F,9300,Oezdemir@Reyes 03/16/2019 01:00PM ET,Reyes,112.075
F,Joe Duffy (12230432),Joe Duffy,12230432,F,9100,Diakiese@Duffy 03/16/2019 01:00PM ET,Duffy,92.475
F,Nicolae Negumereanu (12230413),Nicolae Negumereanu,12230413,F,9000,Negumereanu@Safarov 03/16/2019 01:00PM ET,Negumereanu,96.8429545455
F,Nad Narimani (12230429),Nad Narimani,12230429,F,8900,Grundy@Narimani 03/16/2019 01:00PM ET,Narimani,93.4975
F,Jack Marshman (12230407),Jack Marshman,12230407,F,8800,Marshman@Phillips 03/16/2019 01:00PM ET,Marshman,82.8825
F,Tom Breese (12230417),Tom Breese,12230417,F,8400,Breese@Heinisch 03/16/2019 01:00PM ET,Breese,96.375
F,Dan Ige (12230427),Dan Ige,12230427,F,8200,Henry@Ige 03/16/2019 01:00PM ET,Ige,96.55
F,John Phillips (12230408),John Phillips,12230408,F,7400,Marshman@Phillips 03/16/2019 01:00PM ET,Phillips,96.225
F,Claudio Silva (12230409),Claudio Silva,12230409,F,8600,Roberts@Silva 03/16/2019 01:00PM ET,Silva,96.8429545455
F,Danny Roberts (12230410),Danny Roberts,12230410,F,7600,Roberts@Silva 03/16/2019 01:00PM ET,Roberts,96.8429545455
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Finish % if win,Reach,SLPM,TDPM,,,
,,0.8666,69,4.37,1.4,104.77,,
,,0.8,77,6.49,0.68,112.075,,
,,0.7,74,2.39,0.5,72.925,,
,,0.882,73,3.07,0.66,92.475,,
,,1,LOCK,LOCK,LOCK,96.8429545455,,
,,0.5833,70,4.3,3.5,93.4975,,
,,0.8181,73,2.87,0,82.8825,,
,,0.9,73,3.85,0,96.375,,
,,0.7,71,3.84,3.05,96.55,,
,,0.8333,73,6.07,0.96,112.8225,,
,,1,75,2.83,0,96.225,,
,,0.8,75,5.69,0.4,104.675,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.75,71,2.55,3.04,****,,
,,0.75,74,3.71,0,***,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49100.0,  611.7104545454999,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49600.0,  608.8329545455,
Nathaniel Wood (12230425),  Nad Narimani (12230429),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49000.0,  608.3649999999999,
Nathaniel Wood (12230425),  Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49800.0,  607.8104545455,
Nathaniel Wood (12230425),  Joe Duffy (12230432),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49200.0,  607.3425,
Nathaniel Wood (12230425),  Joe Duffy (12230432),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49700.0,  604.4649999999999,
Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48600.0,  600.4379545454999,
Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48800.0,  599.4154545455,
Joe Duffy (12230432),  Nicolae Negumereanu (12230413),  Nad Narimani (12230429),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49300.0,  596.5379545454999,
Joe Duffy (12230432),  Nad Narimani (12230429),  Tom Breese (12230417),  Danny Henry (12230428),  John Phillips (12230408),  Volkan Oezdemir (12230416),  48700.0,  596.0699999999999,
Nathaniel Wood (12230425),  Nicolae Negumereanu (12230413),  Tom Breese (12230417),  Dan Ige (12230427),  John Phillips (12230408),  Volkan Oezdemir (12230416),  49300.0,  595.4379545454999,
