Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Junior Dos Santos (12189461),Junior Dos Santos,12189461,F,9400,Dos Santos@Lewis 03/09/2019 05:00PM ET,Dos Santos,94.5
F,Jeff Hughes (12189470),Jeff Hughes,12189470,F,9300,Greene@Hughes 03/09/2019 05:00PM ET,Hughes,33
F,Alex Morono (12189481),Alex Morono,12189481,F,9100,Morono@Ottow 03/09/2019 05:00PM ET,Morono,113.5
F,Beneil Dariush (12189463),Beneil Dariush,12189463,F,9000,Dariush@Dober 03/09/2019 05:00PM ET,Dariush,110.5
F,Yana Kunitskaya (12189473),Yana Kunitskaya,12189473,F,8900,Kunitskaya@Reneau 03/09/2019 05:00PM ET,Kunitskaya,84
F,Tim Means (12189477),Tim Means,12189477,F,8800,Means@Price 03/09/2019 05:00PM ET,Means,0
F,Grant Dawson (12189479),Grant Dawson,12189479,F,8700,Dawson@Erosa 03/09/2019 05:00PM ET,Dawson,103.5
F,Omari Akhmedov (12189471),Omari Akhmedov,12189471,F,8500,Akhmedov@Boetsch 03/09/2019 05:00PM ET,Akhmedov,61.56
F,Louis Smolka (12189484),Louis Smolka,12189484,F,8300,Schnell@Smolka 03/09/2019 05:00PM ET,Smolka,73.64
F,Curtis Millender (12189476),Curtis Millender,12189476,F,8200,Millender@Zaleski dos Santos 03/09/2019 05:00PM ET,Millender,81.67
F,Elizeu Zaleski dos Santos (12189475),Elizeu Zaleski dos Santos,12189475,F,8000,Millender@Zaleski dos Santos 03/09/2019 05:00PM ET,Zaleski dos Santos,104
F,Matt Schnell (12189483),Matt Schnell,12189483,F,7900,Schnell@Smolka 03/09/2019 05:00PM ET,Schnell,105
F,Ben Rothwell (12189468),Ben Rothwell,12189468,F,7800,Ivanov@Rothwell 03/09/2019 05:00PM ET,Rothwell,66.6
F,Julian Erosa (12189480),Julian Erosa,12189480,F,7500,Dawson@Erosa 03/09/2019 05:00PM ET,Erosa,0
F,Niko Price (12189478),Niko Price,12189478,F,7400,Means@Price 03/09/2019 05:00PM ET,Price,116
F,Derrick Lewis (12189462),Derrick Lewis,12189462,F,6800,Dos Santos@Lewis 03/09/2019 05:00PM ET,Lewis,67.34
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Dos Santos,94.5,,,
,,,,Hughes,33,,,
,,,,Morono,113.5,,,
,,,,Dariush,110.5,,,
,,,,Means,0,,,
,,,,Dawson,103.5,,,
,,,,White,64.5,,,
,,,,Akhmedov,56,,,
,,,,Smolka,0,,,
,,,,Millender,0,,,
,,,,Zaleski dos Santos,104,,,
,,,,Yana,84,,,
11,,,,Schnell,105,,,
,,,,Price,116,,,
,,,,Greene,66,,,
