Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
MMA,Classic,1416469988,MMA $250K Throwdown [$50K to 1st] (3/3),69511497,2019-03-02 18:30:00,636,629,$40.00,$0.00,19607,$15.00,"$250,000.00",4060
MMA,Classic,1416461637,MMA $250K Throwdown [$50K to 1st] (1/3),69511497,2019-03-02 18:30:00,694,624.5,$40.00,$0.00,19607,$15.00,"$250,000.00",4060
MMA,Classic,1416469173,MMA $250K Throwdown [$50K to 1st] (2/3),69511497,2019-03-02 18:30:00,13635,366.5,$0.00,$0.00,19607,$15.00,"$250,000.00",4060
MMA,Classic,1416469993,MMA $40K Sprawl [20 Entry Max],69624342,2019-03-02 18:30:00,394,629,$15.00,$0.00,11890,$4.00,"$40,000.00",2950
MMA,Classic,1416460696,MMA $20K mini-MAX [150 Entry Max] (110/130),69624344,2019-03-02 18:30:00,404,651.5,$5.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460597,MMA $20K mini-MAX [150 Entry Max] (11/130),69624344,2019-03-02 18:30:00,523,642.5,$4.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460612,MMA $20K mini-MAX [150 Entry Max] (26/130),69624344,2019-03-02 18:30:00,613,639,$4.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460650,MMA $20K mini-MAX [150 Entry Max] (64/130),69624344,2019-03-02 18:30:00,676,636,$4.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460594,MMA $20K mini-MAX [150 Entry Max] (8/130),69624344,2019-03-02 18:30:00,730,629,$4.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460587,MMA $20K mini-MAX [150 Entry Max] (1/130),69624344,2019-03-02 18:30:00,828,624.5,$4.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460632,MMA $20K mini-MAX [150 Entry Max] (46/130),69624344,2019-03-02 18:30:00,1676,589,$3.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460673,MMA $20K mini-MAX [150 Entry Max] (87/130),69624344,2019-03-02 18:30:00,1751,586,$3.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460697,MMA $20K mini-MAX [150 Entry Max] (111/130),69624344,2019-03-02 18:30:00,1855,582.5,$3.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460625,MMA $20K mini-MAX [150 Entry Max] (39/130),69624344,2019-03-02 18:30:00,2264,575.5,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460664,MMA $20K mini-MAX [150 Entry Max] (78/130),69624344,2019-03-02 18:30:00,2476,572.5,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460652,MMA $20K mini-MAX [150 Entry Max] (66/130),69624344,2019-03-02 18:30:00,2610,568,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460627,MMA $20K mini-MAX [150 Entry Max] (41/130),69624344,2019-03-02 18:30:00,3015,562,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460667,MMA $20K mini-MAX [150 Entry Max] (81/130),69624344,2019-03-02 18:30:00,3300,559,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460635,MMA $20K mini-MAX [150 Entry Max] (49/130),69624344,2019-03-02 18:30:00,3402,556.5,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460682,MMA $20K mini-MAX [150 Entry Max] (96/130),69624344,2019-03-02 18:30:00,3456,555.5,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460676,MMA $20K mini-MAX [150 Entry Max] (90/130),69624344,2019-03-02 18:30:00,3554,553.5,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
MMA,Classic,1416460706,MMA $20K mini-MAX [150 Entry Max] (120/130),69624344,2019-03-02 18:30:00,3743,550,$2.00,$0.00,23781,$1.00,"$20,000.00",5350
