F,F,F,F,F,F,,Instructions,,,,,,,,
,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,F,Michel Prazeres (12110229),Michel Prazeres,12110229,F,9400,Naurdiev@Prazeres 02/23/2019 11:00AM ET,Prazeres,83.42
,,,,,,,F,Petr Yan (12110228),Petr Yan,12110228,F,9300,Dodson@Yan 02/23/2019 11:00AM ET,Yan,112.17
,,,,,,,F,Damir Ismagulov (12110241),Damir Ismagulov,12110241,F,9200,Alvarez@Ismagulov 02/23/2019 11:00AM ET,Ismagulov,84
,,,,,,,F,Magomed Ankalaev (12110218),Magomed Ankalaev,12110218,F,9100,Abreu@Ankalaev 02/23/2019 11:00AM ET,Ankalaev,77.25
,,,,,,,F,Chris Fishgold (12110226),Chris Fishgold,12110226,F,9000,Fishgold@Teymur 02/23/2019 11:00AM ET,Fishgold,15
,,,,,,,F,Michal Oleksiejczuk (12110232),Michal Oleksiejczuk,12110232,F,8900,Oleksiejczuk@Villante 02/23/2019 11:00AM ET,Oleksiejczuk,81
,,,,,,,F,Polo Reyes (12110234),Polo Reyes,12110234,F,8800,Hadzovic@Reyes 02/23/2019 11:00AM ET,Reyes,85.1
,,,,,,,F,Rustam Khabilov (12110240),Rustam Khabilov,12110240,F,8700,Ferreira@Khabilov 02/23/2019 11:00AM ET,Khabilov,69.18
,,,,,,,F,Gillian Robertson (12110235),Gillian Robertson,12110235,F,8600,Macedo@Robertson 02/23/2019 11:00AM ET,Robertson,75
,,,,,,,F,Thiago Santos (12110224),Thiago Santos,12110224,F,8500,Blachowicz@Santos 02/23/2019 11:00AM ET,Santos,76.62
,,,,,,,F,Marcos Rogerio de Lima (12110222),Marcos Rogerio de Lima,12110222,F,8400,Rogerio de Lima@Struve 02/23/2019 11:00AM ET,Rogerio de Lima,64.62
,,,,,,,F,Liz Carmouche (12110219),Liz Carmouche,12110219,F,8300,Carmouche@Pudilova 02/23/2019 11:00AM ET,Carmouche,58.12
,,,,,,,F,Carlo Pedersoli (12110238),Carlo Pedersoli,12110238,F,8200,Grant@Pedersoli 02/23/2019 11:00AM ET,Pedersoli,41.25
,,,,,,,F,Dwight Grant (12110237),Dwight Grant,12110237,F,8000,Grant@Pedersoli 02/23/2019 11:00AM ET,Grant,17.5
,,,,,,,F,Lucie Pudilova (12110220),Lucie Pudilova,12110220,F,7900,Carmouche@Pudilova 02/23/2019 11:00AM ET,Pudilova,65
,,,,,,,F,Stefan Struve (12110221),Stefan Struve,12110221,F,7800,Rogerio de Lima@Struve 02/23/2019 11:00AM ET,Struve,58.93
,,,,,,,F,Jan Blachowicz (12110223),Jan Blachowicz,12110223,F,7700,Blachowicz@Santos 02/23/2019 11:00AM ET,Blachowicz,67.4
,,,,,,,F,Veronica Macedo (12110236),Veronica Macedo,12110236,F,7600,Macedo@Robertson 02/23/2019 11:00AM ET,Macedo,14.25
,,,,,,,F,Diego Ferreira (12110239),Diego Ferreira,12110239,F,7500,Ferreira@Khabilov 02/23/2019 11:00AM ET,Ferreira,77.79
,,,,,,,F,Damir Hadzovic (12110233),Damir Hadzovic,12110233,F,7400,Hadzovic@Reyes 02/23/2019 11:00AM ET,Hadzovic,38.25
,,,,,,,F,Gian Villante (12110231),Gian Villante,12110231,F,7300,Oleksiejczuk@Villante 02/23/2019 11:00AM ET,Villante,57
,,,,,,,F,Daniel Teymur (12110225),Daniel Teymur,12110225,F,7200,Fishgold@Teymur 02/23/2019 11:00AM ET,Teymur,26.5
,,,,,,,F,Klidson Abreu (12110217),Klidson Abreu,12110217,F,7100,Abreu@Ankalaev 02/23/2019 11:00AM ET,Abreu,0
,,,,,,,F,Joel Alvarez (12110242),Joel Alvarez,12110242,F,7000,Alvarez@Ismagulov 02/23/2019 11:00AM ET,Alvarez,0
,,,,,,,F,John Dodson (12110227),John Dodson,12110227,F,6900,Dodson@Yan 02/23/2019 11:00AM ET,Dodson,71
,,,,,,,F,Ismail Naurdiev (12110230),Ismail Naurdiev,12110230,F,6800,Naurdiev@Prazeres 02/23/2019 11:00AM ET,Naurdiev,0
