DOB,Date,Event_Name,Fighter_Name,Height,Location,Method,Passes,Reach,Result,Round,Stance,Strikes,Strikes_Per_Min,Submission_Attempts,TD_Avg,Takedowns,Time,Weight,Weight_Class
"Nov 12, 1990","['\n      July 13, 2019\n    ']",UFC Fight Night: De Randamie vs. Ladd,Vince Morales,"5' 7""","['\n\n      Sacramento, California, USA\n    ']",,0,"70""",Benito Lopez,3,Orthodox,64,4.84,0,0.00,0,5:00,135 lbs.,Bantamweight
"Sep 29, 1986","['\n      June 22, 2019\n    ']",UFC Fight Night: Moicano vs. The Korean Zombie,Eric Spicely,"6' 1""","['\n\n      Greenville, South Carolina, USA\n    ']",,0,"73""",Deron Winn,3,Orthodox,108,3.71,0,1.31,0,5:00,185 lbs.,Middleweight
"Dec 08, 1991","['\n      July 06, 2019\n    ']",UFC 239: Jones vs. Santos,Pannie Kianzad,"5' 7""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"66""",Julia Avila,3,,33,2.34,0,0.68,1,5:00,135 lbs.,Women's Bantamweight
"Jul 31, 1989","['\n      May 18, 2019\n    ']",UFC Fight Night: Dos Anjos vs. Lee,Julian Erosa,"6' 1""","['\n\n      Rochester, New York, USA\n    ']",Kick,0,"74""",Julio Arce,3,Southpaw,43,4.18,0,0.83,0,1:49,145 lbs.,Featherweight
"Jul 21, 1994","['\n      June 01, 2019\n    ']",UFC Fight Night: Gustafsson vs. Smith,Danilo Belluardo,"6' 0""","['\n\n      Stockholm, Sweden\n    ']",Punches,2,"74""",Joel Alvarez,2,Southpaw,13,1.76,0,4.07,2,2:22,155 lbs.,Lightweight
"Mar 02, 1994","['\n      June 01, 2019\n    ']",UFC Fight Night: Gustafsson vs. Smith,Joel Alvarez,"6' 3""","['\n\n      Stockholm, Sweden\n    ']",KO/TKO,1,"77""",Joel Alvarez,2,Orthodox,19,2.55,0,0.00,0,2:22,155 lbs.,Lightweight
"Dec 23, 1985","['\n      June 08, 2019\n    ']",UFC 238: Cejudo vs. Moraes,Joanne Calderwood,"5' 6""","['\n\n      Chicago, Illinois, USA\n    ']",,0,"65""",Katlyn Chookagian,3,Orthodox,112,6.10,0,1.82,3,5:00,125 lbs.,Women's Flyweight
"Mar 15, 1991","['\n      June 29, 2019\n    ']",UFC Fight Night: Ngannou vs. Dos Santos,Junior Albini,"6' 3""","['\n\n      Minneapolis, Minnesota, USA\n    ']",Punch,0,"74""",Maurice Greene,1,Orthodox,19,3.98,0,1.54,0,3:38,264 lbs.,Heavyweight
"Oct 10, 1984","['\n      May 04, 2019\n    ']",UFC Fight Night: Iaquinta vs. Cowboy,Mitch Gagnon,"5' 5""","['\n\n      Ottawa, Ontario, Canada\n    ']",,1,"65""",Cole Smith,3,Southpaw,15,2.76,2,1.16,0,5:00,135 lbs.,Bantamweight
"Dec 12, 1984","['\n      April 27, 2019\n    ']",UFC Fight Night: Jacare vs. Hermansson,Court McGee,"5' 11""","['\n\n      Sunrise, Florida, USA\n    ']",,0,"75""",Dhiego Lima,3,Orthodox,65,4.69,0,1.84,0,5:00,170 lbs.,Welterweight
"Apr 05, 1989","['\n      May 04, 2019\n    ']",UFC Fight Night: Iaquinta vs. Cowboy,Cole Smith,"5' 11""","['\n\n      Ottawa, Ontario, Canada\n    ']",U-DEC,2,"67""",Cole Smith,3,Orthodox,38,2.53,2,2.00,2,5:00,135 lbs.,Bantamweight
"Aug 31, 1994","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Mark De La Rosa,"5' 6""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,0,"65""",Alex Perez,3,Orthodox,26,2.72,0,0.69,0,5:00,135 lbs.,Bantamweight
"Jul 06, 1994","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Randy Costa,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",Rear Naked Choke,0,"73""",Brandon Davis,2,Switch,46,7.42,0,0.00,0,1:12,135 lbs.,Bantamweight
"Feb 02, 1991","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Eric Shelton,"5' 6""","['\n\n      Nashville, Tennessee, USA\n    ']",,0,"68""",Jordan Espinosa,3,Orthodox,25,2.57,0,2.83,0,5:00,125 lbs.,Flyweight
"Oct 22, 1988","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Alex White,"6' 0""","['\n\n      Wichita, Kansas, USA\n    ']",U-DEC,0,"71""",Alex White,3,Southpaw,49,3.77,3,1.05,2,5:00,155 lbs.,Lightweight
"Apr 14, 1987","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Nad Narimani,"5' 8""","['\n\n      London, England, United Kingdom\n    ']",Punches,0,"70""",Mike Grundy,2,Orthodox,22,3.80,0,2.64,0,4:42,145 lbs.,Featherweight
"Jun 26, 1992","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Hannah Cifers,"5' 1""","['\n\n      Las Vegas, Nevada, USA\n    ']",S-DEC,0,"63""",Hannah Cifers,3,Orthodox,67,4.91,0,0.00,0,5:00,115 lbs.,Women's Strawweight
"Jun 14, 1992","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Polyana Viana,"5' 5""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"67""",Hannah Cifers,3,Orthodox,77,3.99,0,0.89,0,5:00,115 lbs.,Women's Strawweight
"Oct 11, 1983","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Charles Byrd,"5' 10""","['\n\n      Las Vegas, Nevada, USA\n    ']",Elbows,0,"73""",Edmen Shahbazyan,1,Orthodox,1,3.86,0,2.52,0,0:38,185 lbs.,Middleweight
"Aug 19, 1988","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Gina Mazany,"5' 6""","['\n\n      Las Vegas, Nevada, USA\n    ']",Punch,0,"68""",Macy Chiasson,1,Southpaw,14,2.72,0,3.18,0,1:49,135 lbs.,Women's Bantamweight
"Nov 09, 1989","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Cody Stamann,"5' 6""","['\n\n      Las Vegas, Nevada, USA\n    ']",U-DEC,0,"64""",Cody Stamann,3,Orthodox,48,4.59,0,3.28,0,5:00,135 lbs.,Bantamweight
"Jan 22, 1992","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Mickey Gall,"6' 2""","['\n\n      Las Vegas, Nevada, USA\n    ']",Punches,0,"74""",Diego Sanchez,2,Switch,23,1.74,0,1.71,0,4:13,170 lbs.,Welterweight
"Mar 30, 1992","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Johnny Walker,"6' 5""","['\n\n      Las Vegas, Nevada, USA\n    ']",KO/TKO,0,"82""",Johnny Walker,1,Orthodox,4,5.73,0,0.84,0,0:36,205 lbs.,Light Heavyweight
"Feb 27, 1987","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Misha Cirkunov,"6' 3""","['\n\n      Las Vegas, Nevada, USA\n    ']",Flying Knee,0,"77""",Johnny Walker,1,Orthodox,1,4.45,0,4.45,0,0:36,205 lbs.,Light Heavyweight
"May 25, 1986","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Jeremy Stephens,"5' 8""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"71""",Zabit Magomedsharipov,3,Orthodox,41,3.08,0,1.11,0,5:00,145 lbs.,Featherweight
"Jul 07, 1991","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Cody Garbrandt,"5' 8""","['\n\n      Las Vegas, Nevada, USA\n    ']",Punch,0,"65""",Pedro Munhoz,1,Orthodox,21,3.53,0,0.94,0,4:52,135 lbs.,Bantamweight
"Mar 01, 1991","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Zabit Magomedsharipov,"6' 1""","['\n\n      Las Vegas, Nevada, USA\n    ']",U-DEC,4,"73""",Zabit Magomedsharipov,3,Orthodox,70,4.53,0,6.23,3,5:00,145 lbs.,Featherweight
"Aug 13, 1989","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Weili Zhang,"5' 4""","['\n\n      Las Vegas, Nevada, USA\n    ']",U-DEC,4,--,Weili Zhang,3,Switch,63,5.49,0,1.78,2,5:00,115 lbs.,Women's Strawweight
"Aug 16, 1989","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Tecia Torres,"5' 1""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"60""",Weili Zhang,3,Orthodox,30,4.18,0,0.75,0,5:00,115 lbs.,Women's Strawweight
