DOB1,DOB2,Date,Event_Name,Fighter_Name1,Fighter_Name2,Height1,Height2,Location,Method1,Method2,Passes1,Passes2,Reach1,Reach2,Result1,Result2,Round1,Round2,Stance1,Stance2,Strikes1,Strikes2,Strikes_Per_Min1,Strikes_Per_Min2,Submission_Attempts1,Submission_Attempts2,TD_Avg1,TD_Avg2,Takedowns1,Takedowns2,Time1,Time2,Weight1,Weight2,Weight_Class1,Weight_Class2
"Mar 07, 1988",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Valentina Shevchenko,,"5' 5""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"66""",,,,,,Southpaw,,,,3.28,,,,2.20,,,,,,125 lbs.,,,
"Jul 20, 1986",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Gilbert Burns,,"5' 10""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"71""",,,,,,Orthodox,,,,3.28,,,,2.55,,,,,,155 lbs.,,,
"Jun 01, 1990",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Bobby Moffett,,"5' 10""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"73""",,,,,,Orthodox,,,,2.05,,,,4.17,,,,,,145 lbs.,,,
"Sep 19, 1989",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Volkan Oezdemir,,"6' 2""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"75""",,,,,,Orthodox,,,,4.73,,,,0.57,,,,,,205 lbs.,,,
"Jul 28, 1983",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Ilir Latifi,,"5' 10""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"73""",,,,,,Orthodox,,,,2.34,,,,1.89,,,,,,205 lbs.,,,
"Sep 25, 1989",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Rodolfo Vieira,,"6' 0""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"73""",,,,,,Orthodox,,,,0.00,,,,0.00,,,,,,185 lbs.,,,
"Jan 24, 1990",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Oskar Piechota,,"6' 0""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"76""",,,,,,Southpaw,,,,3.58,,,,1.12,,,,,,185 lbs.,,,
"Apr 28, 1989",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Enrique Barzola,,"5' 7""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"70""",,,,,,,,,,3.51,,,,5.29,,,,,,145 lbs.,,,
"Sep 04, 1994",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Humberto Bandenay,,"5' 11""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"71""",,,,,,Southpaw,,,,2.30,,,,1.87,,,,,,145 lbs.,,,
"May 28, 1989",,"['\n      August 10, 2019\n    ']",UFC Fight Night: Shevchenko vs. Carmouche 2,Eduardo Garagorri,,"5' 9""",,"['\n\n      Montevideo, Uruguay\n    ']",,,,,"70""",,,,,,Orthodox,,,,0.00,,,,0.00,,,,,,145 lbs.,,,
