DOB,Date,Event_Name,Fighter_Name,Height,Location,Method,Passes,Reach,Result,Round,Stance,Strikes,Strikes_Per_Min,Submission_Attempts,TD_Avg,Takedowns,Time,Weight,Weight_Class
"Sep 14, 1984",<built-in method strip of str object at 0x000001DDA8AD0C90>,UFC 236: Holloway vs. Poirier 2,Dwight Grant,"6' 1""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"78""",Alan Jouban,,Switch,,3.06,,0.55,,,170 lbs.,Welterweight
"Apr 08, 1983",<built-in method strip of str object at 0x000001DDA8B52DB0>,UFC 236: Holloway vs. Poirier 2,Ovince Saint Preux,"6' 3""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"80""",Ovince Saint Preux,,Southpaw,,2.68,,1.18,,,205 lbs.,Light Heavyweight
"Jul 22, 1989",<built-in method strip of str object at 0x000001DDA8AD0E10>,UFC 236: Holloway vs. Poirier 2,Israel Adesanya,"6' 4""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"80""",Kelvin Gastelum,,Switch,,4.47,,0.00,,,185 lbs.,Middleweight
"Nov 25, 1981",<built-in method strip of str object at 0x000001DDA8AD08D0>,UFC 236: Holloway vs. Poirier 2,Alan Jouban,"6' 0""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"73""",Alan Jouban,,Southpaw,,5.41,,0.52,,,170 lbs.,Welterweight
"Feb 26, 1990",<built-in method strip of str object at 0x000001DDA8BA67B0>,UFC 236: Holloway vs. Poirier 2,Khalil Rountree Jr.,"6' 1""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"76""",Eryk Anders,,Southpaw,,2.30,,0.00,,,205 lbs.,Light Heavyweight
"Apr 21, 1987",<built-in method strip of str object at 0x000001DDA8BA67B0>,UFC 236: Holloway vs. Poirier 2,Eryk Anders,"6' 1""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"75""",Eryk Anders,,Southpaw,,3.12,,2.05,,,205 lbs.,Light Heavyweight
"Oct 24, 1991",<built-in method strip of str object at 0x000001DDA8BA68D0>,UFC 236: Holloway vs. Poirier 2,Kelvin Gastelum,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"71""",Kelvin Gastelum,,Southpaw,,3.86,,0.82,,,185 lbs.,Middleweight
"Jan 19, 1989",<built-in method strip of str object at 0x000001DDA8BA69F0>,UFC 236: Holloway vs. Poirier 2,Dustin Poirier,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"72""",Max Holloway,,Southpaw,,5.59,,1.75,,,155 lbs.,Lightweight
"Nov 15, 1991",<built-in method strip of str object at 0x000001DDA8BA6B10>,UFC 236: Holloway vs. Poirier 2,Lauren Mueller,"5' 5""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"67""",Lauren Mueller,,Orthodox,,4.71,,0.88,,,125 lbs.,Women's Strawweight
"Dec 04, 1991",<built-in method strip of str object at 0x000001DDA8BA6C30>,UFC 236: Holloway vs. Poirier 2,Max Holloway,"5' 11""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"69""",Max Holloway,,Orthodox,,6.90,,0.32,,,155 lbs.,Lightweight
"Oct 23, 1988",<built-in method strip of str object at 0x000001DDA8BA6D50>,UFC 236: Holloway vs. Poirier 2,Andre Soukhamthath,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"70""",Montel Jackson,,Orthodox,,3.22,,1.59,,,135 lbs.,Bantamweight
"Apr 24, 1992",<built-in method strip of str object at 0x000001DDA8BA6C90>,UFC 236: Holloway vs. Poirier 2,Montel Jackson,"5' 10""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"75""",Montel Jackson,,Southpaw,,3.67,,2.59,,,135 lbs.,Bantamweight
"Dec 01, 1987",<built-in method strip of str object at 0x000001DDA8BA6DB0>,UFC 236: Holloway vs. Poirier 2,Curtis Millender,"6' 2""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"76""",Curtis Millender,,Orthodox,,4.04,,0.55,,,170 lbs.,Welterweight
"Jul 09, 1988",<built-in method strip of str object at 0x000001DDA8BA6E10>,UFC 236: Holloway vs. Poirier 2,Belal Muhammad,"5' 11""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"72""",Curtis Millender,,Orthodox,,4.57,,2.13,,,170 lbs.,Welterweight
"Nov 20, 1990",<built-in method strip of str object at 0x000001DDA8BA6E70>,UFC 236: Holloway vs. Poirier 2,Boston Salmon,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"69""",Boston Salmon,,Southpaw,,4.07,,0.00,,,135 lbs.,Bantamweight
"Feb 15, 1992",<built-in method strip of str object at 0x000001DDA8BA6E10>,UFC 236: Holloway vs. Poirier 2,Khalid Taha,"5' 5""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"69""",Boston Salmon,,Orthodox,,2.13,,0.00,,,135 lbs.,Bantamweight
"May 08, 1990",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Brandon Davis,"5' 10""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"72""",Brandon Davis,,Orthodox,,4.97,,0.22,,,135 lbs.,Bantamweight
"Jul 06, 1994",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Randy Costa,"5' 9""","['\n\n      Atlanta, Georgia, USA\n    ']",,,--,Brandon Davis,,Switch,,0.00,,0.00,,,135 lbs.,Bantamweight
"Jan 25, 1995",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Zelim Imadaev,"6' 0""","['\n\n      Atlanta, Georgia, USA\n    ']",,,--,Max Griffin,,,,0.00,,0.00,,,170 lbs.,Welterweight
"Dec 15, 1988",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Poliana Botelho,"5' 8""","['\n\n      Atlanta, Georgia, USA\n    ']",,,--,Lauren Mueller,,Orthodox,,4.03,,0.74,,,115 lbs.,Women's Strawweight
"Nov 29, 1985",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Max Griffin,"5' 11""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"76""",Max Griffin,,Orthodox,,4.28,,0.61,,,170 lbs.,Welterweight
"May 18, 1995",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Jalin Turner,"6' 3""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"77""",Jalin Turner,,Southpaw,,10.77,,1.54,,,155 lbs.,Lightweight
"Apr 16, 1990",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Alexandre Pantoja,"5' 5""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"67""",Wilson Reis,,Orthodox,,4.31,,0.75,,,125 lbs.,Flyweight
"Mar 07, 1992",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Nikita Krylov,"6' 3""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"77""",Ovince Saint Preux,,Orthodox,,5.59,,0.62,,,205 lbs.,Light Heavyweight
"Jan 06, 1985",<built-in method strip of str object at 0x000001DDA8B52990>,UFC 236: Holloway vs. Poirier 2,Wilson Reis,"5' 4""","['\n\n      Atlanta, Georgia, USA\n    ']",,,"65""",Wilson Reis,,Southpaw,,1.86,,5.15,,,125 lbs.,Flyweight
